H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,1,1,1,0,0,0,13100
5,1,1,1,0,0,1,13350
5,1,1,1,0,0,2,13300
5,1,1,1,0,0,3,13400
5,1,1,1,0,0,4,13250
5,1,1,1,0,1,0,13500
5,1,1,1,0,1,1,13750
5,1,1,1,0,1,2,13700
5,1,1,1,0,1,3,13800
5,1,1,1,0,1,4,13650
5,1,1,1,1,0,0,13700
5,1,1,1,1,0,1,13950
5,1,1,1,1,0,2,13900
5,1,1,1,1,0,3,14000
5,1,1,1,1,0,4,13850
5,1,1,1,1,1,0,14100
5,1,1,1,1,1,1,14350
5,1,1,1,1,1,2,14300
5,1,1,1,1,1,3,14400
5,1,1,1,1,1,4,14250
5,1,1,0,0,0,0,12800
5,1,1,0,0,0,1,13050
5,1,1,0,0,0,2,13000
5,1,1,0,0,0,3,13100
5,1,1,0,0,0,4,12950
5,1,1,0,0,1,0,13200
5,1,1,0,0,1,1,13450
5,1,1,0,0,1,2,13400
5,1,1,0,0,1,3,13500
5,1,1,0,0,1,4,13350
5,1,1,0,1,0,0,13400
5,1,1,0,1,0,1,13650
5,1,1,0,1,0,2,13600
5,1,1,0,1,0,3,13700
5,1,1,0,1,0,4,13550
5,1,1,0,1,1,0,13800
5,1,1,0,1,1,1,14050
5,1,1,0,1,1,2,14000
5,1,1,0,1,1,3,14100
5,1,1,0,1,1,4,13950
5,1,2,1,0,0,0,12800
5,1,2,1,0,0,1,13050
5,1,2,1,0,0,2,13000
5,1,2,1,0,0,3,13100
5,1,2,1,0,0,4,12950
5,1,2,1,0,1,0,13200
5,1,2,1,0,1,1,13450
5,1,2,1,0,1,2,13400
5,1,2,1,0,1,3,13500
5,1,2,1,0,1,4,13350
5,1,2,1,1,0,0,13400
5,1,2,1,1,0,1,13650
5,1,2,1,1,0,2,13600
5,1,2,1,1,0,3,13700
5,1,2,1,1,0,4,13550
5,1,2,1,1,1,0,13800
5,1,2,1,1,1,1,14050
5,1,2,1,1,1,2,14000
5,1,2,1,1,1,3,14100
5,1,2,1,1,1,4,13950
5,1,2,0,0,0,0,12500
5,1,2,0,0,0,1,12750
5,1,2,0,0,0,2,12700
5,1,2,0,0,0,3,12800
5,1,2,0,0,0,4,12650
5,1,2,0,0,1,0,12900
5,1,2,0,0,1,1,13150
5,1,2,0,0,1,2,13100
5,1,2,0,0,1,3,13200
5,1,2,0,0,1,4,13050
5,1,2,0,1,0,0,13100
5,1,2,0,1,0,1,13350
5,1,2,0,1,0,2,13300
5,1,2,0,1,0,3,13400
5,1,2,0,1,0,4,13250
5,1,2,0,1,1,0,13500
5,1,2,0,1,1,1,13750
5,1,2,0,1,1,2,13700
5,1,2,0,1,1,3,13800
5,1,2,0,1,1,4,13650
5,1,3,1,0,0,0,12500
5,1,3,1,0,0,1,12750
5,1,3,1,0,0,2,12700
5,1,3,1,0,0,3,12800
