H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,0,1,1,0,0,0,6500
5,0,1,1,0,0,1,6650
5,0,1,1,0,0,2,6620
5,0,1,1,0,0,3,6590
5,0,1,1,0,0,4,6550
5,0,1,1,0,1,0,6700
5,0,1,1,0,1,1,6850
5,0,1,1,0,1,2,6820
5,0,1,1,0,1,3,6790
5,0,1,1,0,1,4,6750
5,0,1,1,1,0,0,6900
5,0,1,1,1,0,1,7050
5,0,1,1,1,0,2,7020
5,0,1,1,1,0,3,6990
5,0,1,1,1,0,4,6950
5,0,1,1,1,1,0,7100
5,0,1,1,1,1,1,7250
5,0,1,1,1,1,2,7220
5,0,1,1,1,1,3,7190
5,0,1,1,1,1,4,7150
5,0,1,0,0,0,0,6400
5,0,1,0,0,0,1,6550
5,0,1,0,0,0,2,6520
5,0,1,0,0,0,3,6490
5,0,1,0,0,0,4,6450
5,0,1,0,0,1,0,6600
5,0,1,0,0,1,1,6750
5,0,1,0,0,1,2,6720
5,0,1,0,0,1,3,6690
5,0,1,0,0,1,4,6650
5,0,1,0,1,0,0,6800
5,0,1,0,1,0,1,6950
5,0,1,0,1,0,2,6920
5,0,1,0,1,0,3,6890
5,0,1,0,1,0,4,6850
5,0,1,0,1,1,0,7000
5,0,1,0,1,1,1,7150
5,0,1,0,1,1,2,7120
5,0,1,0,1,1,3,7090
5,0,1,0,1,1,4,7050
5,0,2,1,0,0,0,6300
5,0,2,1,0,0,1,6450
5,0,2,1,0,0,2,6420
5,0,2,1,0,0,3,6390
5,0,2,1,0,0,4,6350
5,0,2,1,0,1,0,6500
5,0,2,1,0,1,1,6650
5,0,2,1,0,1,2,6620
5,0,2,1,0,1,3,6590
5,0,2,1,0,1,4,6550
5,0,2,1,1,0,0,6700
5,0,2,1,1,0,1,6850
5,0,2,1,1,0,2,6820
5,0,2,1,1,0,3,6790
5,0,2,1,1,0,4,6750
5,0,2,1,1,1,0,6900
5,0,2,1,1,1,1,7050
5,0,2,1,1,1,2,7020
5,0,2,1,1,1,3,6990
5,0,2,1,1,1,4,6950
5,0,2,0,0,0,0,6200
5,0,2,0,0,0,1,6350
5,0,2,0,0,0,2,6320
5,0,2,0,0,0,3,6290
5,0,2,0,0,0,4,6250
5,0,2,0,0,1,0,6400
5,0,2,0,0,1,1,6550
5,0,2,0,0,1,2,6520
5,0,2,0,0,1,3,6490
5,0,2,0,0,1,4,6450
5,0,2,0,1,0,0,6600
5,0,2,0,1,0,1,6750
5,0,2,0,1,0,2,6720
5,0,2,0,1,0,3,6690
5,0,2,0,1,0,4,6650
5,0,2,0,1,1,0,6800
5,0,2,0,1,1,1,6950
5,0,2,0,1,1,2,6920
5,0,2,0,1,1,3,6890
5,0,2,0,1,1,4,6850
5,0,3,1,0,0,0,6200
5,0,3,1,0,0,1,6350
5,0,3,1,0,0,2,6320
5,0,3,1,0,0,3,6290
5,0,3,1,0,0,4,6250
5,0,3,1,0,1,0,6400
5,0,3,1,0,1,1,6550
5,0,3,1,0,1,2,6520
5,0,3,1,0,1,3,6490
5,0,3,1,0,1,4,6450
5,0,3,1,1,0,0,6600
5,0,3,1,1,0,1,6750
5,0,3,1,1,0,2,6720
5,0,3,1,1,0,3,6690
5,0,3,1,1,0,4,6650
5,0,3,1,1,1,0,6800
5,0,3,1,1,1,1,6950
5,0,3,1,1,1,2,6920
5,0,3,1,1,1,3,6890
5,0,3,1,1,1,4,6850
5,0,3,0,0,0,0,6100
5,0,3,0,0,0,1,6250
5,0,3,0,0,0,2,6220
5,0,3,0,0,0,3,6190
5,0,3,0,0,0,4,6150
5,0,3,0,0,1,0,6300
5,0,3,0,0,1,1,6450
5,0,3,0,0,1,2,6420
5,0,3,0,0,1,3,6390
5,0,3,0,0,1,4,6350
5,0,3,0,1,0,0,6500
5,0,3,0,1,0,1,6650
5,0,3,0,1,0,2,6620
5,0,3,0,1,0,3,6590
5,0,3,0,1,0,4,6550
5,0,3,0,1,1,0,6700
5,0,3,0,1,1,1,6850
5,0,3,0,1,1,2,6820
5,0,3,0,1,1,3,6790
5,0,3,0,1,1,4,6750
4,0,1,1,0,0,0,5000
4,0,1,1,0,0,1,5150
4,0,1,1,0,0,2,5120
4,0,1,1,0,0,3,5090
4,0,1,1,0,0,4,5050
4,0,1,1,0,1,0,5200
4,0,1,1,0,1,1,5350
4,0,1,1,0,1,2,5320
4,0,1,1,0,1,3,5290
4,0,1,1,0,1,4,5250
4,0,1,1,1,0,0,5400
4,0,1,1,1,0,1,5550
4,0,1,1,1,0,2,5520
4,0,1,1,1,0,3,5490
4,0,1,1,1,0,4,5450
4,0,1,1,1,1,0,5600
4,0,1,1,1,1,1,5750
4,0,1,1,1,1,2,5720
