H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,2,1,1,0,0,0,9750
5,2,1,1,0,0,1,10050
5,2,1,1,0,0,2,10000
5,2,1,1,0,0,3,9950
5,2,1,1,0,0,4,9900
5,2,1,1,0,1,0,10050
5,2,1,1,0,1,1,10350
5,2,1,1,0,1,2,10300
5,2,1,1,0,1,3,10250
5,2,1,1,0,1,4,10200
5,2,1,1,1,0,0,10150
5,2,1,1,1,0,1,10450
5,2,1,1,1,0,2,10400
5,2,1,1,1,0,3,10350
5,2,1,1,1,0,4,10300
5,2,1,1,1,1,0,10450
5,2,1,1,1,1,1,10750
5,2,1,1,1,1,2,10700
5,2,1,1,1,1,3,10650
5,2,1,1,1,1,4,10600
5,2,1,0,0,0,0,9500
5,2,1,0,0,0,1,9800
5,2,1,0,0,0,2,9750
5,2,1,0,0,0,3,9700
5,2,1,0,0,0,4,9650
5,2,1,0,0,1,0,9800
5,2,1,0,0,1,1,10100
5,2,1,0,0,1,2,10050
5,2,1,0,0,1,3,10000
5,2,1,0,0,1,4,9950
5,2,1,0,1,0,0,9900
5,2,1,0,1,0,1,10200
5,2,1,0,1,0,2,10150
5,2,1,0,1,0,3,10100
5,2,1,0,1,0,4,10050
5,2,1,0,1,1,0,10200
5,2,1,0,1,1,1,10500
5,2,1,0,1,1,2,10450
5,2,1,0,1,1,3,10400
5,2,1,0,1,1,4,10350
5,2,2,1,0,0,0,9600
5,2,2,1,0,0,1,9900
5,2,2,1,0,0,2,9850
5,2,2,1,0,0,3,9800
5,2,2,1,0,0,4,9750
5,2,2,1,0,1,0,9900
5,2,2,1,0,1,1,10200
5,2,2,1,0,1,2,10150
5,2,2,1,0,1,3,10100
5,2,2,1,0,1,4,10050
5,2,2,1,1,0,0,10000
5,2,2,1,1,0,1,10300
5,2,2,1,1,0,2,10250
5,2,2,1,1,0,3,10200
5,2,2,1,1,0,4,10150
5,2,2,1,1,1,0,10300
5,2,2,1,1,1,1,10600
5,2,2,1,1,1,2,10550
5,2,2,1,1,1,3,10500
5,2,2,1,1,1,4,10450
5,2,2,0,0,0,0,9350
5,2,2,0,0,0,1,9650
5,2,2,0,0,0,2,9600
5,2,2,0,0,0,3,9550
5,2,2,0,0,0,4,9500
5,2,2,0,0,1,0,9650
5,2,2,0,0,1,1,9950
5,2,2,0,0,1,2,9900
5,2,2,0,0,1,3,9850
5,2,2,0,0,1,4,9800
5,2,2,0,1,0,0,9750
