H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,4,1,1,0,0,0,11100
5,4,1,1,0,0,1,11450
5,4,1,1,0,0,2,11400
5,4,1,1,0,0,3,11300
5,4,1,1,0,0,4,11250
5,4,1,1,0,1,0,11400
5,4,1,1,0,1,1,11750
5,4,1,1,0,1,2,11700
5,4,1,1,0,1,3,11600
5,4,1,1,0,1,4,11550
5,4,1,1,1,0,0,11450
5,4,1,1,1,0,1,11800
5,4,1,1,1,0,2,11750
5,4,1,1,1,0,3,11650
5,4,1,1,1,0,4,11600
5,4,1,1,1,1,0,11750
5,4,1,1,1,1,1,12100
5,4,1,1,1,1,2,12050
5,4,1,1,1,1,3,11950
5,4,1,1,1,1,4,11900
5,4,1,0,0,0,0,10800
5,4,1,0,0,0,1,11150
5,4,1,0,0,0,2,11100
5,4,1,0,0,0,3,11000
5,4,1,0,0,0,4,10950
5,4,1,0,0,1,0,11100
5,4,1,0,0,1,1,11450
5,4,1,0,0,1,2,11400
5,4,1,0,0,1,3,11300
5,4,1,0,0,1,4,11250
5,4,1,0,1,0,0,11150
5,4,1,0,1,0,1,11500
5,4,1,0,1,0,2,11450
5,4,1,0,1,0,3,11350
5,4,1,0,1,0,4,11300
5,4,1,0,1,1,0,11450
5,4,1,0,1,1,1,11800
5,4,1,0,1,1,2,11750
5,4,1,0,1,1,3,11650
5,4,1,0,1,1,4,11600
5,4,2,1,0,0,0,11050
5,4,2,1,0,0,1,11400
5,4,2,1,0,0,2,11350
5,4,2,1,0,0,3,11250
5,4,2,1,0,0,4,11200
5,4,2,1,0,1,0,11350
5,4,2,1,0,1,1,11700
5,4,2,1,0,1,2,11650
5,4,2,1,0,1,3,11550
5,4,2,1,0,1,4,11500
5,4,2,1,1,0,0,11400
5,4,2,1,1,0,1,11750
5,4,2,1,1,0,2,11700
5,4,2,1,1,0,3,11600
5,4,2,1,1,0,4,11550
5,4,2,1,1,1,0,11700
5,4,2,1,1,1,1,12050
5,4,2,1,1,1,2,12000
5,4,2,1,1,1,3,11900
5,4,2,1,1,1,4,11850
5,4,2,0,0,0,0,10750
5,4,2,0,0,0,1,11100
5,4,2,0,0,0,2,11050
5,4,2,0,0,0,3,10950
5,4,2,0,0,0,4,10900
5,4,2,0,0,1,0,11050
5,4,2,0,0,1,1,11400
5,4,2,0,0,1,2,11350
5,4,2,0,0,1,3,11250
5,4,2,0,0,1,4,11200
5,4,2,0,1,0,0,11100
5,4,2,0,1,0,1,11450
5,4,2,0,1,0,2,11400
5,4,2,0,1,0,3,11300
5,4,2,0,1,0,4,11250
5,4,2,0,1,1,0,11400
5,4,2,0,1,1,1,11750
5,4,2,0,1,1,2,11700
5,4,2,0,1,1,3,11600
5,4,2,0,1,1,4,11550
5,4,3,1,0,0,0,11000
5,4,3,1,0,0,1,11350
5,4,3,1,0,0,2,11300
5,4,3,1,0,0,3,11200
5,4,3,1,0,0,4,11150
5,4,3,1,0,1,0,11300
5,4,3,1,0,1,1,11650
5,4,3,1,0,1,2,11600
5,4,3,1,0,1,3,11500
5,4,3,1,0,1,4,11450
5,4,3,1,1,0,0,11350
5,4,3,1,1,0,1,11700
5,4,3,1,1,0,2,11650
5,4,3,1,1,0,3,11550
5,4,3,1,1,0,4,11500
5,4,3,1,1,1,0,11650
5,4,3,1,1,1,1,12000
5,4,3,1,1,1,2,11950
5,4,3,1,1,1,3,11850
5,4,3,1,1,1,4,11800
5,4,3,0,0,0,0,10700
5,4,3,0,0,0,1,11050
5,4,3,0,0,0,2,11000
5,4,3,0,0,0,3,10900
5,4,3,0,0,0,4,10850
5,4,3,0,0,1,0,11000
