H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,5,1,1,0,0,0,9700
5,5,1,1,0,0,1,10000
5,5,1,1,0,0,2,9950
5,5,1,1,0,0,3,9900
5,5,1,1,0,0,4,9850
5,5,1,1,0,1,0,10000
5,5,1,1,0,1,1,10300
5,5,1,1,0,1,2,10250
5,5,1,1,0,1,3,10200
5,5,1,1,0,1,4,10150
5,5,1,1,1,0,0,10050
5,5,1,1,1,0,1,10350
5,5,1,1,1,0,2,10300
5,5,1,1,1,0,3,10250
5,5,1,1,1,0,4,10200
5,5,1,1,1,1,0,10350
5,5,1,1,1,1,1,10650
5,5,1,1,1,1,2,10600
5,5,1,1,1,1,3,10550
5,5,1,1,1,1,4,10500
5,5,1,0,0,0,0,9350
5,5,1,0,0,0,1,9650
5,5,1,0,0,0,2,9600
5,5,1,0,0,0,3,9550
5,5,1,0,0,0,4,9500
5,5,1,0,0,1,0,9650
5,5,1,0,0,1,1,9950
5,5,1,0,0,1,2,9900
5,5,1,0,0,1,3,9850
5,5,1,0,0,1,4,9800
5,5,1,0,1,0,0,9700
5,5,1,0,1,0,1,10000
5,5,1,0,1,0,2,9950
5,5,1,0,1,0,3,9900
5,5,1,0,1,0,4,9850
5,5,1,0,1,1,0,10000
5,5,1,0,1,1,1,10300
5,5,1,0,1,1,2,10250
5,5,1,0,1,1,3,10200
5,5,1,0,1,1,4,10150
5,5,2,1,0,0,0,9650
5,5,2,1,0,0,1,9950
5,5,2,1,0,0,2,9900
5,5,2,1,0,0,3,9850
5,5,2,1,0,0,4,9800
5,5,2,1,0,1,0,9950
5,5,2,1,0,1,1,10250
5,5,2,1,0,1,2,10200
5,5,2,1,0,1,3,10150
5,5,2,1,0,1,4,10100
5,5,2,1,1,0,0,10000
5,5,2,1,1,0,1,10300
5,5,2,1,1,0,2,10250
5,5,2,1,1,0,3,10200
5,5,2,1,1,0,4,10150
5,5,2,1,1,1,0,10300
5,5,2,1,1,1,1,10600
5,5,2,1,1,1,2,10550
5,5,2,1,1,1,3,10500
5,5,2,1,1,1,4,10450
5,5,2,0,0,0,0,9300
5,5,2,0,0,0,1,9600
5,5,2,0,0,0,2,9550
5,5,2,0,0,0,3,9500
5,5,2,0,0,0,4,9450
5,5,2,0,0,1,0,9600
5,5,2,0,0,1,1,9900
5,5,2,0,0,1,2,9850
5,5,2,0,0,1,3,9800
5,5,2,0,0,1,4,9750
5,5,2,0,1,0,0,9650
5,5,2,0,1,0,1,9950
5,5,2,0,1,0,2,9900
5,5,2,0,1,0,3,9850
5,5,2,0,1,0,4,9800
5,5,2,0,1,1,0,9950
5,5,2,0,1,1,1,10250
5,5,2,0,1,1,2,10200
5,5,2,0,1,1,3,10150
5,5,2,0,1,1,4,10100
5,5,3,1,0,0,0,9550
5,5,3,1,0,0,1,9850
5,5,3,1,0,0,2,9800
5,5,3,1,0,0,3,9750
5,5,3,1,0,0,4,9700
5,5,3,1,0,1,0,9850
5,5,3,1,0,1,1,10150
5,5,3,1,0,1,2,10100
5,5,3,1,0,1,3,10050
5,5,3,1,0,1,4,10000
5,5,3,1,1,0,0,9900
5,5,3,1,1,0,1,10200
5,5,3,1,1,0,2,10150
5,5,3,1,1,0,3,10100
5,5,3,1,1,0,4,10050
5,5,3,1,1,1,0,10200
5,5,3,1,1,1,1,10500
5,5,3,1,1,1,2,10450
5,5,3,1,1,1,3,10400
5,5,3,1,1,1,4,10350
5,5,3,0,0,0,0,9200
5,5,3,0,0,0,1,9500
5,5,3,0,0,0,2,9450
5,5,3,0,0,0,3,9400
5,5,3,0,0,0,4,9350
5,5,3,0,0,1,0,9500
5,5,3,0,0,1,1,9800
5,5,3,0,0,1,2,9750
5,5,3,0,0,1,3,9700
5,5,3,0,0,1,4,9650
5,5,3,0,1,0,0,9550
5,5,3,0,1,0,1,9850
5,5,3,0,1,0,2,9800
5,5,3,0,1,0,3,9750
5,5,3,0,1,0,4,9700
5,5,3,0,1,1,0,9850
