H_Grade,H_District,Guest_Sum,H_Accomadation,H_Type,W_DaN,W_Theme,Bugget
5,6,1,1,0,0,0,12750
5,6,1,1,0,0,1,12950
5,6,1,1,0,0,2,13000
5,6,1,1,0,0,3,13100
5,6,1,1,0,0,4,12900
5,6,1,1,0,1,0,13250
5,6,1,1,0,1,1,13450
5,6,1,1,0,1,2,13500
5,6,1,1,0,1,3,13600
5,6,1,1,0,1,4,13400
5,6,1,1,1,0,0,13200
5,6,1,1,1,0,1,13400
5,6,1,1,1,0,2,13450
5,6,1,1,1,0,3,13550
5,6,1,1,1,0,4,13350
5,6,1,1,1,1,0,13700
5,6,1,1,1,1,1,13900
5,6,1,1,1,1,2,13950
5,6,1,1,1,1,3,14050
5,6,1,1,1,1,4,13850
5,6,1,0,0,0,0,12300
5,6,1,0,0,0,1,12500
5,6,1,0,0,0,2,12550
5,6,1,0,0,0,3,12650
5,6,1,0,0,0,4,12450
5,6,1,0,0,1,0,12800
5,6,1,0,0,1,1,13000
5,6,1,0,0,1,2,13050
5,6,1,0,0,1,3,13150
5,6,1,0,0,1,4,12950
5,6,1,0,1,0,0,12750
5,6,1,0,1,0,1,12950
5,6,1,0,1,0,2,13000
5,6,1,0,1,0,3,13100
5,6,1,0,1,0,4,12900
5,6,1,0,1,1,0,13250
5,6,1,0,1,1,1,13450
5,6,1,0,1,1,2,13500
5,6,1,0,1,1,3,13600
5,6,1,0,1,1,4,13400
5,6,2,1,0,0,0,12700
5,6,2,1,0,0,1,12900
5,6,2,1,0,0,2,12950
5,6,2,1,0,0,3,13050
5,6,2,1,0,0,4,12850
5,6,2,1,0,1,0,13200
5,6,2,1,0,1,1,13400
5,6,2,1,0,1,2,13450
5,6,2,1,0,1,3,13550
5,6,2,1,0,1,4,13350
5,6,2,1,1,0,0,13150
5,6,2,1,1,0,1,13350
5,6,2,1,1,0,2,13400
5,6,2,1,1,0,3,13500
5,6,2,1,1,0,4,13300
5,6,2,1,1,1,0,13650
5,6,2,1,1,1,1,13850
5,6,2,1,1,1,2,13900
5,6,2,1,1,1,3,14000
